merge_a,merge_b,endpoint,base_model,n_groups,median,n_positive,n_nonzero,p_wilcoxon,p_sign,q_wilcoxon,q_sign
anm234232,anm244028,any_spike,context,19,0.005913982282376,12,19,0.12318801879882812,0.359283447265625,0.16425069173177084,0.359283447265625
anm234232,anm244028,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.37359619140625,0.359283447265625,0.37359619140625,0.359283447265625
anm234232,anm266945,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm234232,anm266945,count,continuous_kinematics,19,0.0079079365151952,14,19,0.002399444580078125,0.063568115234375,0.00479888916015625,0.12713623046875
anm234232,anm266945,any_spike,context,19,0.015291803426662,12,19,0.12318801879882812,0.359283447265625,0.16425069173177084,0.359283447265625
anm234232,anm266945,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.3524589538574219,0.359283447265625,0.3524589538574219,0.359283447265625
anm234232,anm266951,count,context,20,0.01523287829148675,15,20,0.0003948211669921875,0.04138946533203125,0.00157928466796875,0.0827789306640625
anm234232,anm266951,count,continuous_kinematics,20,0.0084159400231451,15,20,0.0019855499267578125,0.04138946533203125,0.003971099853515625,0.0827789306640625
anm234232,anm266951,any_spike,context,20,0.0102697259954302,12,20,0.13272666931152344,0.5034446716308594,0.1769688924153646,0.5034446716308594
anm234232,anm266951,any_spike,continuous_kinematics,20,0.009711663105966401,12,20,0.34881019592285156,0.5034446716308594,0.34881019592285156,0.5034446716308594
anm234232,jf35892,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm234232,jf35892,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm234232,jf35892,any_spike,context,19,0.015291803426662,12,19,0.11337661743164062,0.359283447265625,0.1511688232421875,0.359283447265625
anm234232,jf35892,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.37359619140625,0.359283447265625,0.37359619140625,0.359283447265625
anm234232,jf37166,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm234232,jf37166,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm234232,jf37166,any_spike,context,19,0.015291803426662,12,19,0.104156494140625,0.359283447265625,0.13887532552083334,0.359283447265625
anm234232,jf37166,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.3524589538574219,0.359283447265625,0.3524589538574219,0.359283447265625
anm244024,anm244025,count,context,19,0.0146381615421686,15,19,0.00041961669921875,0.0192108154296875,0.001678466796875,0.038421630859375
anm244024,anm244025,count,continuous_kinematics,19,0.0079079365151952,15,19,0.00141143798828125,0.0192108154296875,0.0028228759765625,0.038421630859375
anm244024,anm244025,any_spike,context,19,0.0052476485641984,11,19,0.22532272338867188,0.6476058959960938,0.24125289916992188,0.6476058959960938
anm244024,anm244025,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.24125289916992188,0.359283447265625,0.24125289916992188,0.4790445963541667
anm244024,anm244028,count,context,19,0.0146381615421686,15,19,0.000335693359375,0.0192108154296875,0.0013427734375,0.038421630859375
anm244024,anm244028,count,continuous_kinematics,19,0.008923943531095,15,19,0.00202178955078125,0.0192108154296875,0.0040435791015625,0.038421630859375
anm244024,anm244028,any_spike,context,19,0.0052476485641984,12,19,0.104156494140625,0.359283447265625,0.13887532552083334,0.4790445963541667
anm244024,anm244028,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.2934989929199219,0.6476058959960938,0.2934989929199219,0.6476058959960938
anm244024,anm266945,count,context,19,0.0158275950408049,15,19,0.000335693359375,0.0192108154296875,0.0013427734375,0.07684326171875
anm244024,anm266945,count,continuous_kinematics,19,0.008923943531095,14,19,0.001171112060546875,0.063568115234375,0.00234222412109375,0.12713623046875
anm244024,anm266945,any_spike,context,19,0.015291803426662,12,19,0.11337661743164062,0.359283447265625,0.1511688232421875,0.359283447265625
anm244024,anm266945,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.21011734008789062,0.359283447265625,0.21011734008789062,0.359283447265625
anm244024,anm266951,count,context,20,0.01523287829148675,15,20,0.0003948211669921875,0.04138946533203125,0.00157928466796875,0.0827789306640625
anm244024,anm266951,count,continuous_kinematics,20,0.0084159400231451,15,20,0.0019855499267578125,0.04138946533203125,0.003971099853515625,0.0827789306640625
anm244024,anm266951,any_spike,context,20,0.0102697259954302,12,20,0.13272666931152344,0.5034446716308594,0.1769688924153646,0.5034446716308594
anm244024,anm266951,any_spike,continuous_kinematics,20,0.009711663105966401,12,20,0.34881019592285156,0.5034446716308594,0.34881019592285156,0.5034446716308594
anm244024,jf35892,count,context,19,0.0158275950408049,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm244024,jf35892,count,continuous_kinematics,19,0.008923943531095,15,19,0.000965118408203125,0.0192108154296875,0.00193023681640625,0.038421630859375
anm244024,jf35892,any_spike,context,19,0.015291803426662,12,19,0.104156494140625,0.359283447265625,0.13887532552083334,0.359283447265625
anm244024,jf35892,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.1956329345703125,0.359283447265625,0.1956329345703125,0.359283447265625
anm244024,jf37166,count,context,19,0.0146381615421686,15,19,0.000335693359375,0.0192108154296875,0.0013427734375,0.038421630859375
anm244024,jf37166,count,continuous_kinematics,19,0.0079079365151952,15,19,0.001171112060546875,0.0192108154296875,0.00234222412109375,0.038421630859375
anm244024,jf37166,any_spike,context,19,0.015291803426662,12,19,0.09551239013671875,0.359283447265625,0.127349853515625,0.359283447265625
anm244024,jf37166,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.25792694091796875,0.359283447265625,0.25792694091796875,0.359283447265625
anm244025,anm244028,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm244025,anm244028,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm244025,anm244028,any_spike,context,19,0.0052476485641984,11,19,0.22532272338867188,0.6476058959960938,0.3004302978515625,0.6476058959960938
anm244025,anm244028,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.3320655822753906,0.6476058959960938,0.3320655822753906,0.6476058959960938
anm244025,anm266945,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm244025,anm266945,count,continuous_kinematics,19,0.0079079365151952,14,19,0.002838134765625,0.063568115234375,0.00567626953125,0.12713623046875
anm244025,anm266945,any_spike,context,19,0.0052476485641984,11,19,0.22532272338867188,0.6476058959960938,0.24125289916992188,0.6476058959960938
anm244025,anm266945,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.24125289916992188,0.359283447265625,0.24125289916992188,0.4790445963541667
anm244025,anm266951,count,context,20,0.01523287829148675,15,20,0.0003948211669921875,0.04138946533203125,0.00157928466796875,0.0827789306640625
anm244025,anm266951,count,continuous_kinematics,20,0.0084159400231451,15,20,0.0019855499267578125,0.04138946533203125,0.003971099853515625,0.0827789306640625
anm244025,anm266951,any_spike,context,20,0.0102697259954302,12,20,0.13272666931152344,0.5034446716308594,0.1769688924153646,0.5034446716308594
anm244025,anm266951,any_spike,continuous_kinematics,20,0.009711663105966401,12,20,0.34881019592285156,0.5034446716308594,0.34881019592285156,0.5034446716308594
anm244025,jf35892,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm244025,jf35892,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm244025,jf35892,any_spike,context,19,0.0052476485641984,11,19,0.22532272338867188,0.6476058959960938,0.2753410339355469,0.6476058959960938
anm244025,jf35892,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.2753410339355469,0.359283447265625,0.2753410339355469,0.4790445963541667
anm244025,jf37166,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm244025,jf37166,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm244025,jf37166,any_spike,context,19,0.0052476485641984,11,19,0.21011734008789062,0.6476058959960938,0.24125289916992188,0.6476058959960938
anm244025,jf37166,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.24125289916992188,0.359283447265625,0.24125289916992188,0.4790445963541667
anm244028,anm266945,count,context,19,0.01469965286764705,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm244028,anm266945,count,continuous_kinematics,19,0.008923943531095,14,19,0.002399444580078125,0.063568115234375,0.00479888916015625,0.12713623046875
anm244028,anm266945,any_spike,context,19,0.0070570634543528,12,19,0.12318801879882812,0.359283447265625,0.16425069173177084,0.4790445963541667
anm244028,anm266945,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.3954620361328125,0.6476058959960938,0.3954620361328125,0.6476058959960938
anm244028,anm266951,count,context,20,0.01523287829148675,15,20,0.0003948211669921875,0.04138946533203125,0.00157928466796875,0.0827789306640625
anm244028,anm266951,count,continuous_kinematics,20,0.0084159400231451,15,20,0.0019855499267578125,0.04138946533203125,0.003971099853515625,0.0827789306640625
anm244028,anm266951,any_spike,context,20,0.0102697259954302,12,20,0.13272666931152344,0.5034446716308594,0.1769688924153646,0.5034446716308594
anm244028,anm266951,any_spike,continuous_kinematics,20,0.009711663105966401,12,20,0.34881019592285156,0.5034446716308594,0.34881019592285156,0.5034446716308594
anm244028,jf35892,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm244028,jf35892,count,continuous_kinematics,19,0.00851721496989615,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm244028,jf35892,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
anm244028,jf35892,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.4180412292480469,0.6476058959960938,0.4180412292480469,0.6476058959960938
anm244028,jf37166,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm244028,jf37166,count,continuous_kinematics,19,0.008135790128783349,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm244028,jf37166,any_spike,context,19,0.0052476485641984,11,19,0.14468765258789062,0.6476058959960938,0.1929168701171875,0.6476058959960938
anm244028,jf37166,any_spike,continuous_kinematics,19,0.0099127898180237,11,19,0.37359619140625,0.6476058959960938,0.37359619140625,0.6476058959960938
anm266945,anm266951,count,context,20,0.01523287829148675,15,20,0.0003948211669921875,0.04138946533203125,0.00157928466796875,0.0827789306640625
anm266945,anm266951,count,continuous_kinematics,20,0.0084159400231451,15,20,0.0019855499267578125,0.04138946533203125,0.003971099853515625,0.0827789306640625
anm266945,anm266951,any_spike,context,20,0.0102697259954302,12,20,0.13272666931152344,0.5034446716308594,0.1769688924153646,0.5034446716308594
anm266945,anm266951,any_spike,continuous_kinematics,20,0.009711663105966401,12,20,0.34881019592285156,0.5034446716308594,0.34881019592285156,0.5034446716308594
anm266945,jf35892,count,context,19,0.0152732785112414,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm266945,jf35892,count,continuous_kinematics,19,0.008923943531095,14,19,0.0016937255859375,0.063568115234375,0.003387451171875,0.12713623046875
anm266945,jf35892,any_spike,context,19,0.015291803426662,12,19,0.14468765258789062,0.359283447265625,0.1929168701171875,0.359283447265625
anm266945,jf35892,any_spike,continuous_kinematics,19,0.0095105363939091,12,19,0.3524589538574219,0.359283447265625,0.3524589538574219,0.359283447265625
anm266945,jf37166,count,context,19,0.0152732785112414,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm266945,jf37166,count,continuous_kinematics,19,0.008923943531095,14,19,0.0016937255859375,0.063568115234375,0.003387451171875,0.12713623046875
anm266945,jf37166,any_spike,context,19,0.015291803426662,12,19,0.11337661743164062,0.359283447265625,0.1511688232421875,0.359283447265625
anm266945,jf37166,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.2934989929199219,0.359283447265625,0.2934989929199219,0.359283447265625
anm266951,jf35892,count,context,20,0.01523287829148675,15,20,0.0003948211669921875,0.04138946533203125,0.00157928466796875,0.0827789306640625
anm266951,jf35892,count,continuous_kinematics,20,0.0084159400231451,15,20,0.0019855499267578125,0.04138946533203125,0.003971099853515625,0.0827789306640625
anm266951,jf35892,any_spike,context,20,0.0102697259954302,12,20,0.13272666931152344,0.5034446716308594,0.1769688924153646,0.5034446716308594
anm266951,jf35892,any_spike,continuous_kinematics,20,0.009711663105966401,12,20,0.34881019592285156,0.5034446716308594,0.34881019592285156,0.5034446716308594
anm266951,jf37166,count,context,20,0.01523287829148675,15,20,0.0003948211669921875,0.04138946533203125,0.00157928466796875,0.0827789306640625
anm266951,jf37166,count,continuous_kinematics,20,0.0084159400231451,15,20,0.0019855499267578125,0.04138946533203125,0.003971099853515625,0.0827789306640625
anm266951,jf37166,any_spike,context,20,0.0102697259954302,12,20,0.13272666931152344,0.5034446716308594,0.1769688924153646,0.5034446716308594
anm266951,jf37166,any_spike,continuous_kinematics,20,0.009711663105966401,12,20,0.34881019592285156,0.5034446716308594,0.34881019592285156,0.5034446716308594
jf35892,jf37166,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
jf35892,jf37166,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
jf35892,jf37166,any_spike,context,19,0.015291803426662,12,19,0.09551239013671875,0.359283447265625,0.127349853515625,0.359283447265625
jf35892,jf37166,any_spike,continuous_kinematics,19,0.0099127898180237,12,19,0.312408447265625,0.359283447265625,0.312408447265625,0.359283447265625
